"year","university","tuition_and_fees","total_expenses"
"2015","128328","0.0",""
"2015","128337","1092461.0",""
"2015","128391","18794254.0","48665400.0"
"2015","128498","20922760.0","27043300.0"
"2015","128540","1448888.0",""
"2015","128577","3488171.0","22002400.0"
"2015","128586","476252.0",""
"2015","128674","36465315.0",""
"2015","128683","10927331.0","13211800.0"
"2015","128744","76267000.0","92502000.0"
"2015","128771","76274437.0","242022000.0"
"2015","128780","8598340.0","14925600.0"
"2015","128896","4327360.0",""
"2015","128902","59652000.0","108755000.0"
"2015","129002","6447739.0",""
"2015","129020","324520586.0","2218290000.0"
"2015","129154","51424000.0","65763000.0"
"2015","129181","14079658.0",""
"2015","129215","31559892.0","132826000.0"
"2015","129242","122777000.0","179992000.0"
"2015","129349","2138879.0",""
"2015","129367","4401545.0","41319900.0"
"2015","129428","2966000.0","13869000.0"
"2015","129482","12318820.0",""
"2015","129491","1247101.0","4421090.0"
"2015","129525","107873000.0","173767000.0"
"2015","129534","2994992.0","3221220.0"
"2015","129543","7775365.0","46416800.0"
"2015","129695","14052949.0","60897300.0"
"2015","129729","13095371.0","65759300.0"
"2015","129756","5786170.0","27639200.0"
"2015","129774","10367812.0","20640900.0"
"2015","129808","6918674.0","39785300.0"
"2015","129923","12708193.0",""
"2015","129932","7673583.0",""
"2015","129941","124188713.0","168902000.0"
"2015","129969","2242779.0",""
"2015","130004","14168667.0","58699900.0"
"2015","130040","2162421.0","18868000.0"
"2015","130110","1526351.0","1656970.0"
"2015","130174","53324694.0",""
"2015","130183","89124923.0","94270400.0"
"2015","130217","2461073.0","19209300.0"
"2015","130226","255575837.0","293335000.0"
"2015","130253","147325238.0","172279000.0"
"2015","130314","38311000.0","60911000.0"
"2015","130396","12603857.0","70154500.0"
"2015","130448","7282751.0","8647560.0"
"2015","130493","77873319.0","236809000.0"
"2015","130509","10343052.0",""
"2015","130581","2681850.0","2970320.0"
"2015","130590","73979220.0","145326000.0"
"2015","130606","9038165.0","40056200.0"
"2015","130624","15306242.0","96547400.0"
"2015","130697","97659000.0","191795000.0"
"2015","130776","37849780.0","141022000.0"
"2015","130785","30300.0",""
"2015","130794","238093393.0","3187610000.0"
"2015","130837","264724.0",""
"2015","130873","4280914.0",""
"2015","130882","23752.0","16478800.0"
"2015","130907","47916141.0","142310000.0"
"2015","130934","23404926.0","124236000.0"
"2015","130943","406304570.0","907537000.0"
"2015","130989","20676872.0","13507300.0"
"2015","131061","450755.0",""
"2015","131098","21569861.0","33276800.0"
"2015","131113","110489652.0","96365400.0"
"2015","131159","374483000.0","491363000.0"
"2015","131283","133150901.0","219996000.0"
"2015","131399","31083170.0","139524000.0"
"2015","131405","1282107.0","4276400.0"
"2015","131450","17432766.0","138715000.0"
"2015","131469","638998000.0","1236190000.0"
"2015","131496","554619000.0","1176600000.0"
"2015","131520","154068000.0","842148000.0"
"2015","131742","22026017.0","22113200.0"
"2015","131803","14488456.0","13476900.0"
"2015","131830","413252.0",""
"2015","131876","25215416.0","31665500.0"
"2015","131973","3801360.0","13140100.0"
"2015","132268","4408039.0","6023770.0"
"2015","132338","17976364.0","28055000.0"
"2015","132374","4855529.0",""
"2015","132408","3293996.0","6829200.0"
"2015","132471","134629988.0","157755000.0"
"2015","132602","40993325.0","83006600.0"
"2015","132657","60225092.0","71505700.0"
"2015","132666","783714.0",""
"2015","132675","201841.0",""
"2015","132693","19458328.0","110366000.0"
"2015","132709","40258878.0","289191000.0"
"2015","132806","41835.0",""
"2015","132842","12593386.0","14422500.0"
"2015","132851","7102408.0","60233800.0"
"2015","132879","2324953.0","4502690.0"
"2015","132903","285576688.0","925472000.0"
"2015","132976","578960.0",""
"2015","133021","2080702.0","24016600.0"
"2015","133155","1557231.0",""
"2015","133386","16973774.0","116893000.0"
