,year,university,tuition_and_fees,pell_grants,total_expenses,total_salaries
6585,2015,481562,1039229.0,345630.0,,77628.0
6595,2015,481766,2232349.0,436863.0,,799961.0
6621,2015,482307,1357964.0,466541.0,,525173.0
6623,2015,482325,2224022.0,665323.0,,607348.0
6625,2015,482343,1662698.0,527493.0,,420685.0
6627,2015,482361,3277875.0,1181520.0,,1097020.0
6628,2015,482370,2119329.0,758686.0,,595933.0
6629,2015,482389,811523.0,177155.0,,422565.0
6633,2015,482431,104343935.0,19501500.0,,32642100.0
6634,2015,482440,10804674.0,1837740.0,,3725220.0
6635,2015,482459,32605539.0,5816570.0,,11507500.0
6636,2015,482468,29065434.0,7170950.0,,10038100.0
6637,2015,482477,343288769.0,52230900.0,,68404400.0
6640,2015,482529,2734781.0,604527.0,,963747.0
6645,2015,482574,29036070.0,6588070.0,,8561260.0
6661,2015,483009,214345.0,598942.0,,629731.0
6789,2015,485184,40000.0,45000.0,,70000.0
6790,2015,485193,85000.0,42000.0,,70000.0
6901,2015,487302,7146208.0,2081300.0,7412620.0,2967380.0
