"year","university","research_total","endowment_value_fiscal_year_end","total_expenses","total_salaries"
"2015","121859","0.0","","","681827.0"
"2015","121868","0.0","","","835893.0"
"2015","121886","0.0","2013640.0","124331000.0","49454900.0"
"2015","121901","0.0","3494190.0","139261000.0","61915200.0"
"2015","121983","0.0","","6436200.0","3568010.0"
"2015","121992","0.0","","","1380520.0"
"2015","122117","107729.0","","2258770.0","1281760.0"
"2015","122126","0.0","","3555780.0","1040570.0"
"2015","122180","0.0","","","63120700.0"
"2015","122205","0.0","2182440.0","","67637100.0"
"2015","122296","0.0","27682200.0","53774200.0","29780900.0"
"2015","122320","0.0","","444498000.0","172226000.0"
"2015","122339","0.0","","106383000.0","41709700.0"
"2015","122366","0.0","","17966300.0","974228.0"
"2015","122375","0.0","","111655000.0","48328800.0"
"2015","122384","0.0","","59720200.0","25953700.0"
"2015","122409","4236190.0","210555000.0","538888000.0","219342000.0"
"2015","122436","4200000.0","469984000.0","293522000.0","151340000.0"
"2015","122454","0.0","9453340.0","22559400.0","11059000.0"
"2015","122506","0.0","40379000.0","20161000.0","10609000.0"
"2015","122597","17179600.0","48257700.0","456678000.0","205650000.0"
"2015","122603","176014.0","48836700.0","8555830.0","3183730.0"
"2015","122612","2716000.0","314337000.0","342592000.0","161115000.0"
"2015","122649","0.0","593338.0","4136640.0","2833620.0"
"2015","122658","0.0","","160999000.0","60438900.0"
"2015","122685","0.0","","91504800.0","39347800.0"
"2015","122728","0.0","1642670.0","28039100.0","9440380.0"
"2015","122737","1536890.0","20062800.0","176001000.0","7480860.0"
"2015","122746","0.0","","","32728400.0"
"2015","122755","34994.0","120044000.0","430842000.0","189748000.0"
"2015","122782","0.0","","54461200.0","26776100.0"
"2015","122791","0.0","","77484800.0","38095700.0"
"2015","122834","0.0","","","3483490.0"
"2015","122852","0.0","","","1298390.0"
"2015","122889","0.0","32891200.0","167971000.0","75991300.0"
"2015","122931","3756000.0","884746000.0","326560000.0","152977000.0"
"2015","122977","0.0","9125800.0","252866000.0","116877000.0"
"2015","123013","0.0","36789200.0","173766000.0","86508100.0"
"2015","123095","0.0","","12134200.0","6301710.0"
"2015","123165","0.0","305250000.0","61204200.0","21753600.0"
"2015","123217","0.0","8254240.0","84730200.0","35139100.0"
"2015","123280","67037.0","","643533.0","275490.0"
"2015","123299","0.0","","70016100.0","28935400.0"
"2015","123341","0.0","3010450.0","139304000.0","56442200.0"
"2015","123350","0.0","","","214271.0"
"2015","123396","0.0","","","405000.0"
"2015","123448","0.0","184641.0","3665830.0","1672740.0"
"2015","123457","0.0","6493270.0","21631400.0","10524900.0"
"2015","123484","86809.0","1158770.0","26522900.0","9705100.0"
"2015","123493","0.0","","","2506930.0"
"2015","123509","0.0","","76261000.0","37494000.0"
"2015","123527","0.0","","","33775000.0"
"2015","123554","0.0","170105000.0","130797000.0","63726900.0"
"2015","123563","0.0","","86576500.0","33710700.0"
"2015","123572","1698580.0","35177500.0","180903000.0","72070500.0"
"2015","123633","62901.0","","6069140.0","3231480.0"
"2015","123642","0.0","","3831300.0","1477040.0"
"2015","123651","0.0","4910050.0","40820800.0","20231800.0"
"2015","123679","0.0","","12394000.0","6576000.0"
"2015","123800","479650.0","","158252000.0","68419000.0"
"2015","123855","0.0","74077900.0","7833100.0","2486890.0"
"2015","123916","0.0","6377220.0","2885750.0","1433790.0"
